je	ʒə
pas	pa
tu	ty
ça	sa
des	de
du	dy
non	nɔ̃
mon	mɔ̃
va	va
sur	syʁ
dit	di
si	si
là	la
par	paʁ
son	sɔ̃
ton	tɔ̃
si	si
sa	sa
ta	ta
ces	se
mes	me
dis	di
vas	va
vu	vy
bon	bɔ̃
sûr	syʁ
ses	se
tes	te
vos	vo
nom	nɔ̃
nos	no
bon	bɔ̃
cet	sɛt
mal	mal
ni	ni
pu	py
dû	dy
mal	mal
hé	e
cas	ka
mec	mɛk
car	kaʁ
mis	mi
fin	fɛ̃
lit	li
mot	mo
cul	ky
dur	dyʁ
dès	dɛ
tôt	to
pas	pa
dix	dis
six	sis
sac	sak
dos	do
mer	mɛʁ
con	kɔ̃
bon	bɔ̃
met	mɛ
su	sy
lu	ly
vin	vɛ̃
nez	ne
vit	vi
vol	vɔl
bas	ba
but	byt
bas	ba
bon	bɔ̃
tel	tɛl
tas	ta
ben	bɛ̃
bar	baʁ
mur	myʁ
fut	fy
to	to
vis	vi
né	ne
bu	by
sur	syʁ
fil	fil
ton	tɔ̃
bus	bys
vus	vy
con	kɔ̃
sol	sɔl
vu	vy
com	kɔm
lis	li
son	sɔ̃
là	la
ça	sa
gaz	gaz
don	dɔ̃
fer	fɛʁ
hum	œm
fut	fy
bel	bɛl
lac	lak
pis	pi
fac	fak
nul	nyl
bal	bal
sec	sɛk
bat	ba
job	dʒɔb
hop	ɔp
pur	pyʁ
bas	ba
pot	po
tir	tiʁ
nul	nyl
rat	ʁa
sud	syd
bah	ba
jus	ʒy
ha	a
pub	pœb
for	fɔʁ
sel	sɛl
ris	ʁi
fit	fi
ho	o
cap	kap
man	mɑ̃
top	tɔp
ben	bɛ̃
riz	ʁi
dés	de
rit	ʁi
nu	ny
bol	bɔl
do	do
dur	dyʁ
go	go
vit	vi
net	nɛt
lit	li
car	kaʁ
mal	mal
zut	zyt
fan	fan
mis	mi
by	bi
fin	fɛ̃
nan	nɑ̃
lot	lo
nid	ni
nus	ny
coq	kɔk
par	paʁ
rex	ʁɛks
sir	siʁ
ci	si
ver	vɛʁ
dit	di
vis	vi
tel	tɛl
vif	vif
gym	ʒim
lis	lis
bac	bak
mi	mi
nés	ne
van	van
gus	gys
col	kɔl
ri	ʁi
las	la
da	da
jet	dʒɛt
con	kɔ̃
min	min
çà	sa
duc	dyk
mit	mi
dit	di
kit	kit
bip	bip
vis	vis
mac	mak
bec	bɛk
gin	dʒin
max	maks
ras	ʁa
dé	de
kid	kid
na	na
fax	faks
fût	fy
sud	syd
je	ʒə
fa	fa
put	py
los	lo
fi	fi
toc	tɔk
bof	bɔf
dot	dɔt
gel	ʒɛl
pic	pik
mat	mat
der	dɛʁ
hip	ip
fis	fi
nu	ny
but	by
doc	dɔk
tu	ty
net	nɛt
nul	nyl
hi	i
mûr	myʁ
fus	fy
pan	pɑ̃
let	lɛ
non	nɔ̃
vil	vil
né	ne
pet	pɛ
cal	kal
pan	pɑ̃
roc	ʁɔk
fus	fy
sas	sa
rap	ʁap
tac	tak
pop	pɔp
dû	dy
lus	ly
ré	ʁe
set	sɛt
fin	fɛ̃
ha	a
su	sy
fun	fyn
pin	pɛ̃
tu	ty
vu	vy
da	da
cor	kɔʁ
sus	sys
dû	dy
li	li
zen	zɛn
tom	tɔm
box	bɔks
tic	tik
bu	by
gag	gag
lys	lis
sot	so
pop	pɔp
nul	nyl
web	wɛb
sil	sil
lé	le
sot	so
toc	tɔk
fat	fat
hic	ik
mas	ma
vif	vif
fût	fy
té	te
